Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
1 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,158,,,,,,,,202.1,1,
2,,156,,,,,,,,199.1,1,
3,,138,,,,,,,,196.8,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
2 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,116,,,,,,,,201.8,1,
2,,77,,,,,,,,199.0,1,
3,,80,,,,,,,,197.0,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
3 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,143,,,,,,,,213.8,1,
2,,152,,,,,,,,194.3,1,
3,,44,,,,,,,,189.6,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
4 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,78,,,,,,,,214.0,1,
2,,108,,,,,,,,202.8,1,
3,,120,,,,,,,,180.8,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
5 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,174,,,,,,,,223.8,1,
2,,108,,,,,,,,202.8,1,
3,,90,,,,,,,,171.0,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
6 of 47,,,8,,,,,,,600.0,4x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,35,,,,,,,,204.0,1,
2,,156,,,,,,,,199.1,1,
3,,23,,,,,,,,194.0,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
7 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,149,,,,,,,,216.8,1,
2,,120,,,,,,,,180.8,1,
3,,122,,,,,,,,129.8,1,
4,,27,,,,,,,,69.6,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
8 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,67,,,,,,,,202.0,1,
2,,74,,,,,,,,180.0,1,
3,,76,,,,,,,,154.0,1,
4,,83,,,,,,,,61.0,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
9 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,82,,,,,,,,209.5,1,
2,,15,,,,,,,,185.2,1,
3,,136,,,,,,,,101.5,1,
4,,93,,,,,,,,100.8,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
10 of 47,,,8,,,,,,,600.0,2x,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
#,,Part #,,,Description,,,Order #,,Length,Count,
,,,,,,,,,,,,
1,,107,,,,,,,,244.8,1,
2,,121,,,,,,,,178.8,1,
3,,7,,,,,,,,106.5,1,
4,,124,,,,,,,,66.8,1,
Layout,,,Stock #,,,Description,,,Rest,Length,Repeat,
11 of 47,,,8,,,,,,,600.0,2x,
